Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Fraud,Thursday,2018,Twin Peaks,-122.4459844,37.75235172,Initial Supplement
Robbery,Thursday,2018,Financial District/South Beach,-122.3963904,37.79366378,Initial Supplement
Assault,Tuesday,2018,Tenderloin,-122.4176186,37.78377752,Initial Supplement
Fraud,Friday,2018,Outer Richmond,-122.5101688,37.77512753,Initial Supplement
Assault,Saturday,2018,South of Market,-122.3938573,37.77797713,Initial
Assault,Monday,2018,Sunset/Parkside,-122.4936185,37.75348478,Initial
Fraud,Thursday,2018,Glen Park,-122.4395491,37.73868842,Initial
Assault,Friday,2018,Lone Mountain/USF,-122.4425649,37.77342422,Initial
Fraud,Saturday,2018,Marina,-122.4357724,37.79848719,Initial
Robbery,Wednesday,2018,Mission,-122.421143,37.75207443,Initial
Assault,Thursday,2018,Financial District/South Beach,-122.4020657,37.78872115,Initial
Fraud,Tuesday,2018,Sunset/Parkside,-122.4810495,37.7428144,Initial
Stolen Property,Thursday,2018,Presidio,-122.4595773,37.79948777,Initial
Assault,Tuesday,2018,Pacific Heighs,-122.4335947,37.78989152,Initial
Assault,Sunday,2018,Sunset/Parkside,-122.4767646,37.74300263,Initial
Stolen Property,Tuesday,2018,Tenderloin,-122.4107648,37.78321431,Initial
Fraud,Wednesday,2018,South of Market,-122.4092834,37.77965775,Initial
Assault,Monday,2018,Nob Hill,-122.4170169,37.78911017,Initial
Assault,Sunday,2018,Oceanview/Merced/Ingleside,-122.4716322,37.71787615,Initial
Assault,Wednesday,2018,Mission Bay,-122.3936531,37.77273293,Initial
Assault,Tuesday,2018,South of Market,-122.4081608,37.78053539,Initial
Assault,Saturday,2018,Bayview Hunters Point,-122.3819486,37.73152913,Initial Supplement
Assault,Sunday,2018,South of Market,-122.4039209,37.78069905,Initial
Assault,Monday,2018,Treasure Island,-122.3766402,37.82908934,Initial
Stolen Property,Wednesday,2018,Mission Bay,-122.4036431,37.76601707,Initial
Fraud,Wednesday,2018,South of Market,-122.395744,37.77769842,Initial
Assault,Monday,2018,Haight Ashbury,-122.4436491,37.77042637,Initial Supplement
Fraud,Friday,2018,Golden Gate Park,-122.4863341,37.77247158,Initial
Stolen Property,Sunday,2018,South of Market,-122.4081608,37.78053539,Vehicle Supplement
Fraud,Thursday,2018,Mission,-122.4126431,37.76032388,Initial Supplement
Assault,Thursday,2018,West of Twin Peaks,-122.4735534,37.74314359,Initial
Assault,Friday,2018,Potrero Hill,-122.3960128,37.75747698,Initial
Fraud,Friday,2018,Inner Richmond,-122.464145,37.77909073,Initial
Assault,Sunday,2018,Mission,-122.4197806,37.74894135,Initial
Assault,Saturday,2018,Excelsior,-122.4374611,37.72116355,Initial Supplement
Fraud,Saturday,2018,Russian Hill,-122.4220068,37.80549665,Initial
Fraud,Saturday,2018,Marina,-122.4463484,37.80048649,Initial
Fraud,Tuesday,2018,Sunset/Parkside,-122.5037855,37.76051914,Initial
Assault,Monday,2018,Excelsior,-122.4383294,37.72001552,Initial
Robbery,Saturday,2018,Mission,-122.4063362,37.75300403,Initial
Robbery,Wednesday,2018,South of Market,-122.4119334,37.78000587,Initial
Stolen Property,Wednesday,2018,Mission,-122.4181181,37.76030106,Initial Supplement
Assault,Sunday,2018,Bayview Hunters Point,-122.3815644,37.72867801,Initial Supplement
Assault,Monday,2018,Financial District/South Beach,-122.3910961,37.79243605,Initial
